Trans. Date,Post Date,Description,Amount,Category
1/5/2021,1/5/2021,FRESHGROCERPROGPLAZAS1 PHILADELPHIA PA001513130375,17.15,Supermarkets
1/9/2021,1/9/2021,ALDI 60169 PHILADELPHIA PA,6.86,Supermarkets
1/12/2021,1/12/2021,FRESHGROCERPROGPLAZAS1 PHILADELPHIA PA001518619075,17.62,Supermarkets
1/12/2021,1/12/2021,INTERNET PAYMENT - THANK YOU,-234.21,Payments and Credits
1/13/2021,1/13/2021,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,9.53,Services
1/16/2021,1/16/2021,AE OUTF ONL00029538919 OTTAWA KS,1.55,Merchandise
1/16/2021,1/16/2021,ALDI 60169 PHILADELPHIA PA,29.43,Supermarkets
1/17/2021,1/17/2021,SEPTA FARE MACHINE PHILADELPHIA PA,6.75,Travel/ Entertainment
1/18/2021,1/18/2021,AMZN MKTP US*JU10Y6Q43 AMZN.COM/BILLWA5KC2U8KA0CE,18.89,Merchandise
1/19/2021,1/19/2021,AMAZON.COM*IR9DR2A23 AMZN.COM/BILLWA1DWMV97273E,34.56,Merchandise
1/20/2021,1/20/2021,AMZN MKTP US*O820L81S3 AMZN.COM/BILLWA5BVLCCA3DLI,9.52,Merchandise
1/21/2021,1/21/2021,"CENGAGE LEARNING, INC 800-354-9706 MA",127.19,Merchandise
1/28/2021,1/28/2021,SPOTIFY 877-778-1161 NY,5.29,Services
1/30/2021,1/30/2021,ALDI 60169 PHILADELPHIA PA,95.79,Supermarkets
1/30/2021,1/30/2021,INTERNET PAYMENT - THANK YOU,-260.33,Payments and Credits
2/5/2021,2/5/2021,ALDI 60169 PHILADELPHIA PA,46.75,Supermarkets
2/12/2021,2/12/2021,ALDI 60169 PHILADELPHIA PA,38.63,Supermarkets
2/13/2021,2/13/2021,INTERNET PAYMENT - THANK YOU,-142.54,Payments and Credits
2/13/2021,2/13/2021,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,9.53,Services
