Date,Description,Amount,Category,Unnamed: 7,Account,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
01/2021,Verizon,20.0,Verizon,,Venmo,,,,,,
01/2021,Verizon,20.0,Verizon,,Venmo,,,,,,
01/2021,ALDI 60169 PHILADELPHIA PA,-95.79,Groceries,,Discover,,,,,,
01/2021,SPOTIFY,-5.29,Subscriptions,,Discover,,,,,,
01/2021,"CENGAGE LEARNING, INC 800-354-9706 MA",-127.19,Merchandise,,Discover,,,,,,
01/2021,AMAZON,-9.52,Merchandise,,Discover,,,,,,
01/2021,AMAZON,-34.56,Merchandise,,Discover,,,,,,
01/2021,AMAZON,-18.89,Merchandise,,Discover,,,,,,
01/2021,ALDI 60169 PHILADELPHIA PA,-29.43,Groceries,,Discover,,,,,,
01/2021,AE OUTF ONL00029538919 OTTAWA KS,-1.55,Merchandise,,Discover,,,,,,
01/2021,NETFLIX,-9.53,Subscriptions,,Discover,,,,,,
01/2021,FRESHGROCERPROGPLAZAS1 PHILADELPHIA PA001518619075,-17.62,Groceries,,Discover,,,,,,
01/2021,ALDI 60169 PHILADELPHIA PA,-6.86,Groceries,,Discover,,,,,,
01/2021,FRESHGROCERPROGPLAZAS1 PHILADELPHIA PA001513130375,-17.15,Groceries,,Discover,,,,,,
01/2021,ACH CREDIT      XXXXX0531 TEMPLE UNIVERSIT PAYROLL,468.18,Paychecks,,Spend,,,,,,
01/2021,DEBIT CARD PURCHASE   XXXXX9542 TARGETCOM               XXXXX3869 MN,-36.58,Personal,,Spend,,,,,,
01/2021,SEPTA FARE MACHINE PHILADELPHIA PA,-6.75,Travel/ Entertainment,,Discover,,,,,,
01/2021,Restaurants,-8.74,Restaurants,,Venmo,,,,,,
01/2021,Groceries,17.37,Groceries,,Venmo,,,,,,
01/2021,Insurance,-4.18,Insurance,,Venmo,,,,,,
01/2021,Insurance,-4.18,Insurance,,Venmo,,,,,,
01/2021,Restaurants,-10.0,Restaurants,,Venmo,,,,,,
01/2021,Electric,-33.88,Electric,,Venmo,,,,,,
01/2021,Merchandise,2.37,Merchandise,,Venmo,,,,,,
01/2021,Stipend,190.81,Stipend,,Reserve,,,,,,
01/2021,Merchandise,6.75,Merchandise,,Venmo,,,,,,
01/2021,Groceries,-16.0,Groceries,,Venmo,,,,,,
01/2021,Verizon,20.0,Verizon,,Venmo,,,,,,
01/2021,Rent,-575.0,Rent,,Reserve,,,,,,
01/2021,Stipend,943.0,Stipend,,Reserve,,,,,,
01/2021,ACH WEBRECUR   XXXXX0001 VERIZON          PAYMENTREC,-79.99,Verizon,,Spend,,,,,,
02/2021,Merchandise,27.55,Merchandise,,Venmo,,,,,,
02/2021,Groceries,5.49,Groceries,,Venmo,,,,,,
02/2021,Groceries,11.55,Groceries,,Venmo,,,,,,
02/2021,Verizon,20.0,Verizon,,Venmo,,,,,,
02/2021,Groceries,4.25,Groceries,,Venmo,,,,,,
02/2021,Verizon,20.0,Verizon,,Venmo,,,,,,
02/2021,Insurance,-4.18,Insurance,,Venmo,,,,,,
02/2021,Restaurants,-10.75,Restaurants,,Venmo,,,,,,
02/2021,INTEREST PAYMENT ,0.01,INTEREST PAYMENT ,,Reserve,,,,,,
02/2021,Electric,-39.05,Electric,,Venmo,,,,,,
02/2021,Groceries,-4.3,Groceries,,Venmo,,,,,,
02/2021,Groceries,4.25,Groceries,,Venmo,,,,,,
02/2021,Groceries,4.25,Groceries,,Venmo,,,,,,
02/2021,Merchandise,-17.0,Merchandise,,Venmo,,,,,,
02/2021,Restaurants,-2.75,Restaurants,,Venmo,,,,,,
02/2021,Groceries,19.09,Groceries,,Venmo,,,,,,
02/2021,Groceries,13.91,Groceries,,Venmo,,,,,,
02/2021,Verizon,20.0,Verizon,,Venmo,,,,,,
02/2021,Merchandise,-8.0,Merchandise,,Venmo,,,,,,
02/2021,Rent,-575.0,Rent,,Reserve,,,,,,
02/2021,Groceries,2.79,Groceries,,Venmo,,,,,,
02/2021,INTEREST PAYMENT ,0.64,INTEREST PAYMENT ,,Growth,,,,,,
02/2021,AMAZON,-27.04,Merchandise,,Discover,,,,,,
02/2021,NETFLIX,-9.53,Subscriptions,,Discover,,,,,,
02/2021,AMAZON,-6.24,Merchandise,,Discover,,,,,,
02/2021,ACH CREDIT      XXXXX0531 TEMPLE UNIVERSIT PAYROLL,359.54,Paychecks,,Spend,,,,,,
02/2021,ALDI 60169 PHILADELPHIA PA,-27.7,Groceries,,Discover,,,,,,
02/2021,THE CLIFFS AT CALLOWHI PHILADELPHIA PA,-9.0,Travel/ Entertainment,,Discover,,,,,,
02/2021,TRADER JOE'S #618 QPS PHILADELPHIA PA,-30.37,Groceries,,Discover,,,,,,
02/2021,ALDI 60169 PHILADELPHIA PA,-21.26,Groceries,,Discover,,,,,,
02/2021,ALDI 60169 PHILADELPHIA PA,-6.6,Groceries,,Discover,,,,,,
02/2021,SEPTA CALL CENTER-CARD 215-561-8231 PA,-20.0,Travel/ Entertainment,,Discover,,,,,,
02/2021,ALDI 60169 PHILADELPHIA PA,-38.63,Groceries,,Discover,,,,,,
02/2021,POS PURCHASE          POS55716001  1087970 MARSHALLS #117           PHILADELPHIA PA,-30.21,Personal,,Spend,,,,,,
02/2021,POS PURCHASE          POS00MT8T01  1408548 7-ELEVEN                 PHILADELPHIA PA,-1.83,Groceries,,Spend,,,,,,
02/2021,POS PURCHASE          POS301       1408547 OLD NAVY US 37           PHILADELPHIA PA,-14.65,Personal,,Spend,,,,,,
02/2021,POS PURCHASE          POS33206169  1408546 TARGET STORE-            PHILADELPHIA PA,-8.58,Personal,,Spend,,,,,,
02/2021,ACH CREDIT      XXXXX0531 TEMPLE UNIVERSIT PAYROLL,416.28,Paychecks,,Spend,,,,,,
02/2021,ACH WEBRECUR   XXXXX0001 VERIZON          PAYMENTREC,-79.99,Verizon,,Spend,,,,,,
02/2021,POS PURCHASE          POS99999999  1087971 FIVE BELOW 125           PHILADELPHIA PA,-13.5,Merchandise,,Spend,,,,,,
02/2021,ALDI 60169 PHILADELPHIA PA,-46.75,Groceries,,Discover,,,,,,
03/2021,Verizon,20.0,Verizon,,Venmo,,,,,,
03/2021,Verizon,20.0,Verizon,,Venmo,,,,,,
03/2021,Merchandise,-1.19,Merchandise,,Venmo,,,,,,
03/2021,Merchandise,-1.39,Merchandise,,Venmo,,,,,,
03/2021,Restaurants,-14.65,Restaurants,,Venmo,,,,,,
03/2021,Verizon,20.0,Verizon,,Venmo,,,,,,
03/2021,Merchandise,2.88,Merchandise,,Venmo,,,,,,
03/2021,Groceries,8.37,Groceries,,Venmo,,,,,,
03/2021,Restaurants,7.75,Restaurants,,Venmo,,,,,,
03/2021,Restaurants,7.75,Restaurants,,Venmo,,,,,,
03/2021,Restaurants,-2.33,Restaurants,,Venmo,,,,,,
03/2021,Insurance,-4.18,Insurance,,Venmo,,,,,,
03/2021,Electric,-40.4,Electric,,Venmo,,,,,,
03/2021,Groceries,-5.68,Groceries,,Venmo,,,,,,
03/2021,Groceries,2.88,Groceries,,Venmo,,,,,,
03/2021,Groceries,2.88,Groceries,,Venmo,,,,,,
03/2021,Groceries,1.45,Groceries,,Venmo,,,,,,
03/2021,Restaurants,-2.29,Restaurants,,Venmo,,,,,,
03/2021,ETSY.COM BROOKLYN NY,-19.21,Merchandise,,Discover,,,,,,
03/2021,1 SHOT COFFEE LLC PHILADELPHIA PA,-5.59,Restaurants,,Discover,,,,,,
03/2021,CVS,-3.29,Merchandise,,Discover,,,,,,
03/2021,FRESHGROCERPROGPLAZAS1 PHILADELPHIA PA001559265272,-3.96,Groceries,,Discover,,,,,,
03/2021,ALDI 60169 PHILADELPHIA PA,-39.99,Groceries,,Discover,,,,,,
03/2021,CAFE NHAN PHILADELPHIA PA,-23.25,Restaurants,,Discover,,,,,,
03/2021,NETFLIX,-9.53,Subscriptions,,Discover,,,,,,
03/2021,FRESHGROCERPROGPLAZAS1 PHILADELPHIA PA001560810276,-8.57,Groceries,,Discover,,,,,,
03/2021,LEVELUPSAXBYS50356506 855-538-3542 MA,-4.45,Restaurants,,Discover,,,,,,
03/2021,AMAZON,-7.9,Merchandise,,Discover,,,,,,
03/2021,CITY PLANTER 2156276169 CA,-28.08,Home Improvement,,Discover,,,,,,
03/2021,AMAZON,-13.94,Merchandise,,Discover,,,,,,
03/2021,ALDI 60169 PHILADELPHIA PA,-42.77,Groceries,,Discover,,,,,,
03/2021,ALDI 60169 PHILADELPHIA PA,-21.0,Groceries,,Discover,,,,,,
03/2021,AMAZON,-5.29,Merchandise,,Discover,,,,,,
03/2021,ALDI 60169 PHILADELPHIA PA,-30.82,Groceries,,Discover,,,,,,
03/2021,AMAZON,-9.53,Merchandise,,Discover,,,,,,
03/2021,ETSY.COM BROOKLYN NY,-8.49,Merchandise,,Discover,,,,,,
03/2021,ETSY.COM BROOKLYN NY,-11.29,Merchandise,,Discover,,,,,,
